Sat 30 Dec 2017 15:20:35 INFO main.py 76 8968 2017-12-30T15:20:35.554609: step 34, loss 9.60299, acc 0.14, score 1.09752976894, wrong 100.0, 1.1282978 secs/batch
Sat 30 Dec 2017 15:20:36 INFO main.py 76 8968 2017-12-30T15:20:36.898559: step 35, loss 9.71112, acc 0.0, score 0.288879156113, wrong 100.0, 1.3354414 secs/batch
Sat 30 Dec 2017 15:20:38 INFO main.py 76 8968 2017-12-30T15:20:38.225998: step 36, loss 9.07028, acc 0.03, score 0.986322045326, wrong 100.0, 1.3224359 secs/batch
Sat 30 Dec 2017 15:20:39 INFO main.py 76 8968 2017-12-30T15:20:39.310767: step 37, loss 8.24475, acc 0.13, score 2.1258674264, wrong 100.0, 1.0792642 secs/batch
Sat 30 Dec 2017 15:20:40 INFO main.py 76 8968 2017-12-30T15:20:40.384026: step 38, loss 8.86223, acc 0.21, score 2.2026874423, wrong 100.0, 1.0702562 secs/batch
Sat 30 Dec 2017 15:20:41 INFO main.py 76 8968 2017-12-30T15:20:41.442272: step 39, loss 9.43632, acc 0.01, score 0.60701239109, wrong 100.0, 1.0517440 secs/batch
Sat 30 Dec 2017 15:20:42 INFO main.py 76 8968 2017-12-30T15:20:42.524039: step 40, loss 9.73917, acc 0.03, score 0.373627007008, wrong 100.0, 1.0777652 secs/batch
Sat 30 Dec 2017 15:20:43 INFO main.py 76 8968 2017-12-30T15:20:43.621815: step 41, loss 8.73187, acc 0.04, score 1.40545141697, wrong 100.0, 1.0932729 secs/batch
Sat 30 Dec 2017 15:20:44 INFO main.py 76 8968 2017-12-30T15:20:44.779133: step 42, loss 9.85807, acc 0.2, score 1.59192997217, wrong 100.0, 1.1513147 secs/batch
Sat 30 Dec 2017 15:20:45 INFO main.py 76 8968 2017-12-30T15:20:45.867905: step 43, loss 8.75256, acc 0.02, score 1.29094266891, wrong 100.0, 1.0847673 secs/batch
