Thu 30 Nov 2017 23:05:16 INFO execute.py 83 3606 2017-11-30T23:05:16.434235: step 29, loss 1.47385, acc 0.78, score 21.714362368, wrong 67.0, 0.1353002 secs/batch
Thu 30 Nov 2017 23:05:16 INFO execute.py 83 3606 2017-11-30T23:05:16.573792: step 30, loss 1.37332, acc 0.78, score 21.7109164298, wrong 69.0, 0.1351149 secs/batch
Thu 30 Nov 2017 23:05:16 INFO execute.py 83 3606 2017-11-30T23:05:16.710014: step 31, loss 1.2036, acc 0.79, score 24.2383202761, wrong 59.0, 0.1319509 secs/batch
Thu 30 Nov 2017 23:05:16 INFO execute.py 83 3606 2017-11-30T23:05:16.847358: step 32, loss 1.39146, acc 0.82, score 21.5638543963, wrong 72.0, 0.1334217 secs/batch
Thu 30 Nov 2017 23:05:16 INFO execute.py 83 3606 2017-11-30T23:05:16.987265: step 33, loss 0.946743, acc 0.88, score 24.534626171, wrong 60.0, 0.1360297 secs/batch
Thu 30 Nov 2017 23:05:17 INFO execute.py 83 3606 2017-11-30T23:05:17.123660: step 34, loss 1.90047, acc 0.77, score 20.711987704, wrong 69.0, 0.1319120 secs/batch
Thu 30 Nov 2017 23:05:17 INFO execute.py 83 3606 2017-11-30T23:05:17.258983: step 35, loss 1.27677, acc 0.84, score 22.6094404757, wrong 67.0, 0.1314714 secs/batch
Thu 30 Nov 2017 23:05:17 INFO execute.py 83 3606 2017-11-30T23:05:17.395775: step 36, loss 1.41748, acc 0.78, score 22.419214651, wrong 68.0, 0.1329489 secs/batch
Thu 30 Nov 2017 23:05:17 INFO execute.py 83 3606 2017-11-30T23:05:17.534074: step 37, loss 1.61836, acc 0.81, score 20.6414095163, wrong 68.0, 0.1340334 secs/batch
Thu 30 Nov 2017 23:05:17 INFO execute.py 83 3606 2017-11-30T23:05:17.670868: step 38, loss 1.48219, acc 0.77, score 18.1043417156, wrong 94.0, 0.1330891 secs/batch
Thu 30 Nov 2017 23:05:17 INFO execute.py 83 3606 2017-11-30T23:05:17.808129: step 39, loss 2.23596, acc 0.71, score 17.8845472336, wrong 82.0, 0.1333675 secs/batch
Thu 30 Nov 2017 23:05:17 INFO execute.py 83 3606 2017-11-30T23:05:17.944985: step 40, loss 1.36644, acc 0.77, score 20.900729537, wrong 67.0, 0.1332850 secs/batch
Thu 30 Nov 2017 23:05:18 INFO execute.py 83 3606 2017-11-30T23:05:18.085611: step 41, loss 1.41294, acc 0.8, score 19.6627742648, wrong 73.0, 0.1364076 secs/batch
Thu 30 Nov 2017 23:05:18 INFO execute.py 83 3606 2017-11-30T23:05:18.226892: step 42, loss 1.03843, acc 0.8, score 21.6786518097, wrong 71.0, 0.1377652 secs/batch
Thu 30 Nov 2017 23:05:18 INFO execute.py 83 3606 2017-11-30T23:05:18.369245: step 43, loss 1.76896, acc 0.77, score 23.6248190701, wrong 57.0, 0.1380212 secs/batch
Thu 30 Nov 2017 23:05:18 INFO execute.py 83 3606 2017-11-30T23:05:18.506633: step 44, loss 0.4535, acc 0.89, score 24.4974782169, wrong 61.0, 0.1337330 secs/batch
Thu 30 Nov 2017 23:05:18 INFO execute.py 83 3606 2017-11-30T23:05:18.644312: step 45, loss 0.887116, acc 0.88, score 23.3115065694, wrong 65.0, 0.1333292 secs/batch
Thu 30 Nov 2017 23:05:18 INFO execute.py 83 3606 2017-11-30T23:05:18.783276: step 46, loss 1.32782, acc 0.77, score 19.9686154723, wrong 85.0, 0.1350112 secs/batch
Thu 30 Nov 2017 23:05:18 INFO execute.py 83 3606 2017-11-30T23:05:18.919439: step 47, loss 0.779519, acc 0.87, score 27.3310445547, wrong 61.0, 0.1321986 secs/batch
Thu 30 Nov 2017 23:05:19 INFO execute.py 83 3606 2017-11-30T23:05:19.055736: step 48, loss 0.875932, acc 0.88, score 24.5933043957, wrong 62.0, 0.1323647 secs/batch
Thu 30 Nov 2017 23:05:19 INFO execute.py 83 3606 2017-11-30T23:05:19.198233: step 49, loss 1.10176, acc 0.83, score 24.4138267934, wrong 64.0, 0.1387517 secs/batch
Thu 30 Nov 2017 23:05:19 INFO execute.py 83 3606 2017-11-30T23:05:19.335826: step 50, loss 1.07136, acc 0.86, score 24.1129100323, wrong 68.0, 0.1334045 secs/batch
Thu 30 Nov 2017 23:05:19 INFO execute.py 83 3606 2017-11-30T23:05:19.472579: step 51, loss 1.76089, acc 0.79, score 21.1056701541, wrong 71.0, 0.1325371 secs/batch
Thu 30 Nov 2017 23:05:19 INFO execute.py 83 3606 2017-11-30T23:05:19.608833: step 52, loss 1.69861, acc 0.77, score 21.8213249147, wrong 70.0, 0.1327665 secs/batch
